L,R
Cxcl12,Ackr3
Cxcl11,Ackr3
Cxcl12,Cxcr3
Cxcl11,Cxcr3
Ccl19,Cxcr3
Ccl19,Cxcr3
CR974586.2,Cxcr3
CR974586.4,Cxcr3
Ccl20,Cxcr3
Cxcl10,Cxcr3
Cxcl9,Cxcr3
Cxcl12,Cxcr4
Cxcl12,Dpp4
Cxcl11,Dpp4
Cxcl10,Dpp4
Cxcl9,Dpp4
Ccl11,Dpp4
Gcg,Dpp4
Nppb,Dpp4
Vip,Dpp4
Gip,Dpp4
Ccl22,Dpp4
Adcyap1,Dpp4
Ccl19,Ccrl2
Ccl19,Ccrl2
CR974586.2,Ccrl2
CR974586.4,Ccrl2
Ccl19,Ackr4
Ccl19,Ackr4
CR974586.2,Ackr4
CR974586.4,Ackr4
Gm13304,Ackr4
Ccl21d,Ackr4
Ccl21c,Ackr4
Ccl21a,Ackr4
Ccl21a,Ackr4
Ccl21b,Ackr4
Ccl21b,Ackr4
Gm10591,Ackr4
Ccl21b,Ackr4
Cxcl13,Ackr4
Ccl19,Ccr7
Ccl19,Ccr7
CR974586.2,Ccr7
CR974586.4,Ccr7
Gm13304,Ccr7
Ccl21d,Ccr7
Ccl21c,Ccr7
Ccl21a,Ccr7
Ccl21a,Ccr7
Ccl21b,Ccr7
Ccl21b,Ccr7
Gm10591,Ccr7
Ccl21b,Ccr7
Ccl20,Ccr6
Nrg1,Ms4a4a
Ccl5,Ccr1
Ccl5,Ccr1l1
Ccl3,Ccr1
Ccl3,Ccr1l1
Ccl7,Ccr1
Ccl7,Ccr1l1
Ccl3,Ccr1
Ccl3,Ccr1l1
Ccl8,Ccr1
Ccl8,Ccr1l1
Ccl12,Ccr1
Ccl12,Ccr1l1
Ccl6,Ccr1
Ccl6,Ccr1l1
Ccl9,Ccr1
Ccl9,Ccr1l1
Ccl6,Ccr1
Ccl6,Ccr1l1
Ccl9,Ccr1
Ccl9,Ccr1l1
Ccl5,Ccr3
Ccl11,Ccr3
Ccl7,Ccr3
Ccl8,Ccr3
Ccl12,Ccr3
Ccl6,Ccr3
Ccl9,Ccr3
Ccl24,Ccr3
Ccl28,Ccr3
Ccl5,Ackr2
Ccl7,Ackr2
Ccl3,Ackr2
Ccl8,Ackr2
Ccl12,Ackr2
Ccl4,Ackr2
Ccl5,Gpr75
Cdh1,Itgb7
Cdh1,Itgae
Cdh1,Mafa
Ccl5,Ackr1
Ccl22,Ccr4
Ccl17,Ccr4
Ccl5,Ccr5
Ccl7,Ccr5
Ccl3,Ccr5
Ccl8,Ccr5
Ccl12,Ccr5
Fn1,Itgb1
Fn1,Itgav
Fn1,Itgb3
Fn1,Itga2b
Fn1,Itgb7
Fn1,Itga4
Fn1,Itga2
Fn1,Itga3
Fn1,Itga8
Fn1,Itga10
Fn1,Itga11
Fn1,Itga5
Fn1,Itgb5
Fbn1,Itgb1
Fbn1,Itga5
C3,Itgb2
C3,Itgam
C3,Gm49368
Nrg1,Egfr
Tgfa,Egfr
Hbegf,Egfr
Egf,Egfr
Btc,Egfr
Ereg,Egfr
Areg,Egfr
Epgn,Egfr
Fasl,Tnfrsf1a
Hbegf,Cd44
Spp1,Cd44
Cd44,Sele
F2,Itgav
F2,Itgb3
F2,Itga2b
F2,Gp1ba
Il5,Csf2rb
Il5,Csf2rb2
Il5,Il5ra
Cxcl5,Cxcr1
Ppbp,Cxcr2
Cxcl5,Cxcr2
Plg,Itga2b
Plg,Itgb3
Vcam1,Itgb7
Vcam1,Itga4
Vcam1,Itgb2
Vcam1,Itgad
Vcam1,Itgb1
Vcam1,Itga9
Gh,Prlr
Gh,Gm21973
Prl,Prlr
Prl,Gm21973
Csf1,Csf1r
Csf3,Csf1r
Csf2,Csf1r
Il34,Csf1r
Col1a1,Itgb1
Col1a1,Itga2
Col1a1,Itga10
Col1a1,Itga11
Col1a1,Itga1
Tgfb1,Egfr
Tgfb1,Itgav
Tgfb1,Itgb6
Tgfb1,Tgfbr1
Tgfb1,Tgfbr2
Tgfb1,Acvr1
Tgfb1,Tgfbr3
Ttr,Ager
Il1b,Il1r2
Il1b,Il1rap
Il1b,Il1r1
App,Cd74
Vegfa,Nrp2
Vegfa,Kdr
Vegfa,Flt1
Tnf,Fas
Fasl,Fas
Il10,Il10ra
Il10,Il10rb
Il10,Gm21970
Ccl2,Ackr1
Ccl2,Ackr2
Ulbp1,Klrk1
Ulbp1,Hcst
Tnfsf10,Ripk1
Il1a,Il1r2
Il1a,Il1rap
Il1a,Il1r1
Col4a1,Itgb1
Col4a1,Itga2
Col4a1,Itga10
Col4a1,Itga11
Col4a1,Itga1
Il2,Il2rb
Il2,Il2rg
Il2,Gm20489
Il2,Il2ra
Selp,Cd34
F10,Itgb2
F10,Itgam
F10,Gm49368
Col4a2,Itgb1
Col4a2,Itga2
Col4a2,Itga10
Col4a2,Itga11
Col4a2,Itga1
Cd209a,Ceacam10
Cd209a,Ceacam2
Cd209a,Ceacam1
Cd209d,Ceacam10
Cd209d,Ceacam2
Cd209d,Ceacam1
Cd209c,Ceacam10
Cd209c,Ceacam2
Cd209c,Ceacam1
Cd209e,Ceacam10
Cd209e,Ceacam2
Cd209e,Ceacam1
Cd209b,Ceacam10
Cd209b,Ceacam2
Cd209b,Ceacam1
Ccl11,Ccr2
Ccl7,Ccr2
Ccl8,Ccr2
Ccl12,Ccr2
Ccl24,Ccr2
Ccl2,Ccr2
Tnfsf13b,Cd40
Cd40lg,Cd40
Tnf,Tnfrsf1a
Grn,Tnfrsf1a
Lta,Tnfrsf1a
Ntf3,Ngfr
Ngf,Ngfr
Ntf5,Ngfr
Bdnf,Ngfr
Lck,Cd8a
Lck,Cd8b1
Cd38,Pecam1
Tnf,Ripk1
Lta,Ripk1
Ccn3,Notch1
Notch1,Jag1
Notch1,Dll1
Rif1,Notch1
Notch1,Dlk1
Jag2,Notch1
Notch1,Dll3
Dll4,Notch1
Hc,C5ar1
Mif,Cd74
Epha8,Efna3
Epha8,Efna5
Efna1,Epha8
Epha8,Efna4
Ccl11,Ackr2
Gcg,Glp2r
Gcg,Ide
Ccl3,Ide
Igf2,Ide
Nppb,Npr1
Nppa,Npr1
Nppb,Npr3
Nppc,Npr3
Ostn,Npr3
Nppb,Npr2
Nppc,Npr2
Ghrh,Vipr1
Vip,Vipr1
Sct,Vipr1
Ngf,Ntrk1
Cd22,Ptprc
Epo,Epor
Cd244a,Cd48
Mrc1,Ptprc
Pyy,Dpp4
Adcyap1,Sctr
Sct,Sctr
Adcyap1,Adcyap1r1
Pros1,Axl
Gas6,Axl
Gas6,Mertk
Hgf,Met
Vtn,Itgb1
Vtn,Itgav
Vtn,Itgb3
Vtn,Itga2b
Cd226,Pvr
Prr3,Pvr
Prr3,Tigit
Pvr,Cd96
Csf3,Csf3r
Csf2,Csf3r
Col8a1,Itgb1
Col8a1,Itga2
Col8a1,Itga10
Col8a1,Itga11
Col8a1,Itga1
Ntf5,Ntrk2
Ghrl,Tbxa2r
Adora1,Entpd1
Nmu,Nmur1
Nmu,Nmur2
Tnfsf12,Tnfrsf12a
Plxnb2,Sema4c
Ptn,Plxnb2
Plxnb2,Sema4d
Plxnb2,Sema4g
Epha2,Efna3
Epha2,Efna5
Efna1,Epha2
Epha2,Efna4
Ucn,Crhr2
Ucn2,Crhr2
Ucn3,Crhr2
Tnfsf14,Tnfrsf14
Mif,Tnfrsf14
Lta,Tnfrsf14
Tnfsf13,Tnfrsf14
Btla,Tnfrsf14
Tnfrsf14,Cd160
Col14a1,Itgb1
Col14a1,Itga2
Col14a1,Itga10
Col14a1,Itga11
Col14a1,Itga1
Wnt1,Cd36
Ttr,Ngfr
Tslp,Il7r
Tslp,Crlf2
Ephb4,Efnb1
Epo,Ephb4
Efnb2,Ephb4
Efnb3,Ephb4
Bdnf,F11r
Lamc1,Itgav
Lamc1,Itgb3
Lamc1,Itgb1
Lamc1,Itga2
Lamc1,Itga6
Lamc1,Itga7
Osm,Lifr
Osm,Il6st
Osm,Osmr
Il15,Il2rb
Il15,Il2rg
Il15,Gm20489
Ntf3,Ntrk3
Col4a6,Itgb1
Col4a6,Itga2
Col4a6,Itga10
Col4a6,Itga11
Col4a6,Itga1
Il7,Il7r
Il7,Il2rg
Il7,Gm20489
Dsg2,Dsc2
Igf2,Igf2r
Notch2,Jag1
Notch2,Dlk1
Jag2,Notch2
Notch2,Dll3
Dll4,Notch2
Il24,Notch2
Copa,Sort1
Wnt1,Ror2
Wnt5a,Fzd5
Wnt7a,Fzd5
Psap,Gpr37
Mst1,Mst1r
Tnf,Tnfrsf1b
Grn,Tnfrsf1b
Lta,Tnfrsf1b
Dsg1c,Dsc2
Dsg1b,Dsc2
Dsg1a,Dsc2
Icam1,Itgb2
Icam1,Itgam
Icam1,Gm49368
Icam1,Spn
Icam1,Itgal
Bdnf,Ntrk2
Col17a1,Itgb1
Col17a1,Itga2
Col17a1,Itga10
Col17a1,Itga11
Col17a1,Itga1
Thbs1,Itgav
Thbs1,Itgb3
Thbs1,Itga2b
Thbs1,Itgb1
Thbs1,Itga3
Sele,Selplg
Sele,Ceacam10
Sele,Ceacam2
Sele,Ceacam1
Notch3,Jag1
Notch3,Dll1
Notch3,Dlk1
Jag2,Notch3
Notch3,Dll3
Dll4,Notch3
Mdk,Lrp1
Mdk,Ptprz1
Gast,Cckbr
Cck,Cckbr
Ceacam10,Ceacam10
Ceacam10,Ceacam2
Ceacam10,Ceacam1
Ceacam2,Ceacam10
Ceacam2,Ceacam2
Ceacam2,Ceacam1
Ceacam1,Ceacam10
Ceacam1,Ceacam2
Ceacam1,Ceacam1
Ceacam10,Ceacam10
Ceacam10,Ceacam2
Ceacam10,Ceacam1
Ceacam2,Ceacam10
Ceacam2,Ceacam2
Ceacam2,Ceacam1
Ceacam1,Ceacam10
Ceacam1,Ceacam2
Ceacam1,Ceacam1
Vegfb,Adrb2
Vegfb,Flt1
Mmp2,Itgav
Mmp2,Itgb3
Cspg4,Itgb1
Cspg4,Itga3
Cd6,Alcam
Rspo1,Lgr4
Rspo2,Lgr4
Rspo3,Lgr4
Rspo4,Lgr4
Cd86,Cd28
Cxcl13,Cxcr5
Hc,C5ar2
Pdgfb,Lrp1
Pdgfb,Pdgfra
Pdgfb,Pdgfrb
Tnfsf14,Ltbr
Ltb,Ltbr
Tnf,Ltbr
Lta,Ltbr
Bmp10,Acvrl1
Bmp10,Bmpr2
Gdf2,Acvrl1
Gdf2,Bmpr2
Eda2r,Eda
Nrg1,Erbb4
Hbegf,Erbb4
Btc,Erbb4
Ereg,Erbb4
Nrg2,Erbb4
Nrg3,Erbb4
Nrg4,Erbb4
Nrg1,Erbb3
Btc,Erbb3
Nrg2,Erbb3
Igf2,Igf1r
Spp1,Itgav
Spp1,Itgb3
Spp1,Itgb1
Spp1,Itga4
Spp1,Itga9
Ccl3,Ccr3
Ccl28,Ccr10
Gm13306,Ccr10
Ccl27a,Ccr10
Ccl27a,Ccr10
Ccl27a,Ccr10
Ccl4,Ccr5
Pros1,Tyro3
Gas6,Tyro3
Fgf1,Flg
Fgf2,Flg
Fgf8,Flg
Fgf23,Flg
Epha3,Efna3
Epha3,Efna5
Efna1,Epha3
Epha3,Efna4
Epha4,Efna3
Epha4,Efnb1
Epha4,Efna5
Efna1,Epha4
Epha4,Efna4
Efnb2,Epha4
Efnb3,Epha4
Efna5,Ephb2
Cd46,Jag1
Sema7a,Plxnc1
Flt3l,Flt3
Itgb1,Cdh1
Itga2,Cdh1
Pomc,Mc1r
Fgf5,Flg
Fgf15,Flg
Ncam1,Flg
Il24,Il22ra1
Il24,Il20rb
Il24,Il20ra
Lama3,Itgb1
Lama3,Itga3
Tgfb2,Tgfbr1
Tgfb2,Tgfbr2
Tgfb2,Acvr1
Tnfsf13,Tnfrsf1a
Tnfsf13,Fas
Ptn,Ptprz1
Tgfb3,Tgfbr1
Tgfb3,Tgfbr2
Tgfb3,Acvr1
Tgfb3,Tgfbr3
Il6,Il6ra
Il6,Il6st
Vwf,Itgav
Vwf,Itgb3
Vwf,Gp1ba
Tnc,Itgav
Tnc,Itgb3
Tnc,Itgb1
Tnc,Itga4
Tnc,Itga8
Tnc,Itga9
Tnc,Itgb6
Omd,Itgav
Omd,Itgb3
Fga,Itga2b
Fga,Itgb3
Fgg,Itga2b
Fgg,Itgb3
Fgb,Itga2b
Fgb,Itgb3
Fga,Itgb2
Fga,Itgam
Fga,Gm49368
Fgg,Itgb2
Fgg,Itgam
Fgg,Gm49368
Fgb,Itgb2
Fgb,Itgam
Fgb,Gm49368
Fga,Itgax
Fgg,Itgax
Fgb,Itgax
Calca,Calcr
Adm,Calcr
Adm2,Calcr
Iapp,Calcr
Calcb,Calcr
Col3a1,Itgb1
Col3a1,Itga2
Col3a1,Itga10
Col3a1,Itga11
Col3a1,Itga1
Col5a1,Itgb1
Col5a1,Itga2
Col5a1,Itga10
Col5a1,Itga11
Col5a1,Itga1
Col2a1,Itgb1
Col2a1,Itga2
Col2a1,Itga10
Col2a1,Itga11
Col2a1,Itga1
Anxa1,Fpr1
Anxa1,Fpr-rs4
Anxa1,Fpr-rs3
Anxa1,Fpr-rs6
Anxa1,Fpr-rs7
Hebp1,Fpr-rs4
Hebp1,Fpr-rs3
Hebp1,Fpr-rs6
Hebp1,Fpr-rs7
Plxnd1,Sema4a
Sema3e,Plxnd1
Plxnb1,Sema4d
Icam4,Itgb2
Icam4,Itgal
Madcam1,Itgb7
Madcam1,Itga4
Col1a2,Itgb1
Col1a2,Itga2
Col1a2,Itga10
Col1a2,Itga11
Col1a2,Itga1
Pla2g2a,Itgb1
Pla2g2a,Itga4
Pla2g2a,Itga5
Selplg,Selp
Selplg,Sell
Fam3c,Clec2g
Fam3c,Clec2e
Fam3c,Clec2d
Fam3c,Clec2h
Fam3c,Clec2i
Grn,Sort1
Col9a2,Itgb1
Col9a2,Itga2
Col9a2,Itga10
Col9a2,Itga11
Col9a2,Itga1
Col4a5,Itgb1
Col4a5,Itga2
Col4a5,Itga10
Col4a5,Itga11
Col4a5,Itga1
Col6a2,Itgb1
Col6a2,Itga2
Col6a2,Itga10
Col6a2,Itga11
Col6a2,Itga1
Col9a1,Itgb1
Col9a1,Itga2
Col9a1,Itga10
Col9a1,Itga11
Col9a1,Itga1
Col16a1,Itgb1
Col16a1,Itga2
Col16a1,Itga10
Col16a1,Itga11
Col16a1,Itga1
Col6a3,Itgb1
Col6a3,Itga2
Col6a3,Itga10
Col6a3,Itga11
Col6a3,Itga1
Col6a6,Itgb1
Col6a6,Itga2
Col6a6,Itga10
Col6a6,Itga11
Col6a6,Itga1
Col6a5,Itgb1
Col6a5,Itga2
Col6a5,Itga10
Col6a5,Itga11
Col6a5,Itga1
Col5a2,Itgb1
Col5a2,Itga2
Col5a2,Itga10
Col5a2,Itga11
Col5a2,Itga1
Col11a1,Itgb1
Col11a1,Itga2
Col11a1,Itga10
Col11a1,Itga11
Col11a1,Itga1
Col6a1,Itgb1
Col6a1,Itga2
Col6a1,Itga10
Col6a1,Itga11
Col6a1,Itga1
Col11a2,Itgb1
Col11a2,Itga2
Col11a2,Itga10
Col11a2,Itga11
Col11a2,Itga1
Col8a2,Itgb1
Col8a2,Itga2
Col8a2,Itga10
Col8a2,Itga11
Col8a2,Itga1
Col5a3,Itgb1
Col5a3,Itga2
Col5a3,Itga10
Col5a3,Itga11
Col5a3,Itga1
Col15a1,Itgb1
Col15a1,Itga2
Col15a1,Itga10
Col15a1,Itga11
Col15a1,Itga1
Col18a1,Itgb1
Col18a1,Itga2
Col18a1,Itga10
Col18a1,Itga11
Col18a1,Itga1
Col4a4,Itgb1
Col4a4,Itga2
Col4a4,Itga10
Col4a4,Itga11
Col4a4,Itga1
Col4a3,Itgb1
Col4a3,Itga2
Col4a3,Itga10
Col4a3,Itga11
Col4a3,Itga1
Col19a1,Itgb1
Col19a1,Itga2
Col19a1,Itga10
Col19a1,Itga11
Col19a1,Itga1
Col28a1,Itgb1
Col28a1,Itga2
Col28a1,Itga10
Col28a1,Itga11
Col28a1,Itga1
Col13a1,Itgb1
Col13a1,Itga2
Col13a1,Itga10
Col13a1,Itga11
Col13a1,Itga1
Col27a1,Itgb1
Col27a1,Itga2
Col27a1,Itga10
Col27a1,Itga11
Col27a1,Itga1
Col26a1,Itgb1
Col26a1,Itga2
Col26a1,Itga10
Col26a1,Itga11
Col26a1,Itga1
Col12a1,Itgb1
Col12a1,Itga2
Col12a1,Itga10
Col12a1,Itga11
Col12a1,Itga1
Col20a1,Itgb1
Col20a1,Itga2
Col20a1,Itga10
Col20a1,Itga11
Col20a1,Itga1
Ppbp,Cxcr1
Pdgfa,Pdgfra
Pdgfc,Pdgfra
Pdgfd,Pdgfrb
C3,C3ar1
Cr2,Fcer2a
Pyy,Npy1r
Pyy,Npy2r
Agt,Agtr1a
Agt,Agtr1b
Ctla4,Cd80
Ctla4,Cd86
Tnfsf15,Tnfrsf25
Ghrl,Ptgir
Hgf,Cd44
Ngf,Ror1
Wnt5a,Ror1
Wnt5a,Fzd1
Kitl,Kit
Epha1,Efna3
Epha1,Efna5
Efna1,Epha1
Epha1,Efna4
Glg1,Sele
Itgav,Fcer2a
Itgb3,Fcer2a
Fgf1,Itgav
Fgf1,Itgb3
Fgf2,Itgav
Fgf2,Itgb3
Itgav,Plaur
Itgb3,Plaur
Itgav,Thy1
Itgb3,Thy1
Itgav,L1cam
Itgb3,L1cam
Itgax,Fcer2a
Itgb2,Fcer2a
Icam1,Itgax
Itgax,Thy1
Itgb2,Thy1
Itgam,Fcer2a
Gm49368,Fcer2a
Itgam,Thy1
Gm49368,Thy1
Itgb2,Jam3
Itgam,Jam3
Gm49368,Jam3
Itgb2,Gp1ba
Itgam,Gp1ba
Gm49368,Gp1ba
Cd28,Cd80
Ntf3,Ntrk2
Ntf3,Ntrk1
Bdnf,Sort1
Il33,Il1rl1
Il33,Il1rap
Ttr,Ddr1
Wnt3,Fzd7
Wnt1,Fzd8
Wnt3a,Fzd8
